submission_date,state,tot_cases,tot_death
2022/01/04,NY,2032108,23825
2022/01/04,PA,2119464,36968
2022/01/04,IA,592028,8019
2022/01/04,OH,2093074,29674
2022/01/04,FL,4418140,62959
2022/01/04,ID,322524,4188
2022/01/04,IN,1286590,19256
2022/01/04,UT,656407,3811
2022/01/04,WI,1142290,11246
2022/01/04,IL,2263166,31312
2022/01/04,WY,117389,1572
2022/01/04,NH,204897,2004
2022/01/04,ND,177812,2023
2022/01/04,CO,962777,10335
2022/01/04,OK,724875,11650
2022/01/04,LA,869146,15018
2022/01/04,CA,5714613,75924
2022/01/03,AK,154369,947
2022/01/03,MO,1034605,16086
2022/01/03,RI,243666,3102
2022/01/03,MI,1775868,29342
2022/01/03,PA,2094614,36799
2022/01/03,NM,357480,5866
2022/01/03,TN,1453608,20902
2022/01/03,KS,534399,7044
2022/01/03,MS,561262,10455
2022/01/03,HI,118330,1083
2022/01/03,NC,1740966,19626
2022/01/03,OR,430931,5666
2022/01/03,TX,4745139,74736
2022/01/03,MN,1028986,10704
2022/01/03,WY,116643,1526
2022/01/03,VA,1176169,15624
2022/01/03,IN,1278285,19084
2022/01/03,UT,651746,3804
2022/01/03,CT,533866,9210
2022/01/03,MA,1173704,20315
2022/01/03,NH,203749,1973
2022/01/03,SD,179983,2494
2022/01/03,WI,1132361,11185
2022/01/03,IL,2238743,31212
2022/01/03,OK,720961,11555
2022/01/03,SC,1007589,14674
2022/01/03,WA,882144,9853
2022/01/03,NE,344364,3344
2022/01/03,FL,4358846,62920
2022/01/03,MD,765944,11944
2022/01/03,ID,320802,4169
2022/01/03,MT,198520,2908
2022/01/03,IA,587386,7858
2022/01/03,KY,879336,12255
2022/01/03,DE,189382,2286
2022/01/03,WV,337326,5356
2022/01/03,LA,859856,15001
2022/01/03,AL,923300,16655
2022/01/03,ND,176329,2015
2022/01/03,CO,954499,10293
2022/01/03,NV,514344,8428
2022/01/03,AZ,1404601,24355
2022/01/03,NJ,1644839,29073
2022/01/03,ME,148217,1556
2022/01/03,CA,5548724,75847
2022/01/03,VT,61925,457
2022/01/03,OH,2072663,29447
2022/01/03,NY,2009686,23777
2022/01/03,AR,574572,9221
2022/01/03,GA,1887315,31443
2022/01/02,MI,1710271,29019
2022/01/02,WY,115638,1526
2022/01/02,UT,636992,3787
2022/01/02,GA,1839879,31443
2022/01/02,CO,929275,10271
2022/01/02,SC,997956,14672
2022/01/02,MS,543737,10450
2022/01/02,IA,582348,7858
2022/01/02,MT,197724,2906
2022/01/02,WI,1120669,11173
2022/01/02,ME,146736,1531
2022/01/02,HI,115400,1083
2022/01/02,CA,5477529,75847
2022/01/02,LA,828695,14986
2022/01/02,OR,421263,5655
2022/01/02,AR,572822,9196
2022/01/02,IN,1246854,19037
2022/01/02,KS,519544,7001
2022/01/02,MD,751450,11896
2022/01/02,VA,1133238,15601
2022/01/02,NM,350043,5855
2022/01/02,NJ,1623096,29056
2022/01/02,CT,510188,9160
2022/01/02,KY,875966,12255
2022/01/02,NY,1987234,23721
2022/01/02,AL,914374,16650
2022/01/02,DE,186996,2286
2022/01/02,OK,708938,11555
2022/01/02,AZ,1390409,24355
2022/01/02,ID,319382,4162
2022/01/02,OH,2053721,29447
2022/01/02,VT,61709,457
2022/01/02,MO,1006913,16074
2022/01/02,WV,328162,5336
2022/01/02,FL,4307348,62894
2022/01/02,NC,1728870,19602
2022/01/02,RI,241416,3097
2022/01/02,WA,849075,9853
2022/01/02,PA,2077224,36715
2022/01/02,NE,342939,3341
2022/01/02,AK,151583,947
2022/01/02,MA,1140614,20273
2022/01/02,MN,1022212,10656
2022/01/02,NH,198667,1961
2022/01/02,NV,501181,8420
2022/01/02,IL,2181009,31017
2022/01/02,ND,174742,2012
2022/01/02,SD,179204,2486
2022/01/02,TN,1445993,20881
2022/01/02,TX,4684264,74491
2022/01/01,TX,4629004,74491
2022/01/01,WA,849075,9853
2022/01/01,AZ,1389708,24354
2022/01/01,OR,421263,5655
2022/01/01,NY,1960358,23670
2022/01/01,AK,151583,947
2022/01/01,MI,1710271,29019
